Date : 2020-12-14 22:27:35
Directory : /Users/paulkim/Desktop/cs_projects/Retrievo_client
Total : 123 files,  34325 codes, 732 comments, 794 blanks, all 35851 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          5 |     27,375 |          0 |          5 |     27,380 |
| TypeScript React |         98 |      6,422 |        701 |        695 |      7,818 |
| TypeScript       |          7 |        265 |          4 |         36 |        305 |
| JavaScript       |          3 |        111 |          0 |          7 |        118 |
| CSS              |          1 |         41 |         24 |         12 |         77 |
| Markdown         |          1 |         40 |          0 |         20 |         60 |
| Shell Script     |          3 |         29 |          3 |         12 |         44 |
| GraphQL          |          2 |         17 |          0 |          2 |         19 |
| HTML             |          2 |         16 |          0 |          4 |         20 |
| YAML             |          1 |          9 |          0 |          1 |         10 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                          |        123 |     34,325 |        732 |        794 |     35,851 |
| .storybook                                                                                                                 |          3 |         57 |          0 |          7 |         64 |
| public                                                                                                                     |          2 |         40 |          0 |          4 |         44 |
| scripts                                                                                                                    |          3 |         29 |          3 |         12 |         44 |
| src                                                                                                                        |        108 |      6,745 |        729 |        745 |      8,219 |
| src/components                                                                                                             |         49 |      2,463 |         83 |        337 |      2,883 |
| src/components/Avatar                                                                                                      |          2 |         62 |          0 |         12 |         74 |
| src/components/AvatarGroup                                                                                                 |          2 |         75 |          0 |         10 |         85 |
| src/components/Button                                                                                                      |          3 |         79 |          1 |         14 |         94 |
| src/components/Calendar                                                                                                    |          4 |        169 |         33 |         38 |        240 |
| src/components/Chart                                                                                                       |          4 |        372 |         25 |         40 |        437 |
| src/components/DeleteableAvatar                                                                                            |          2 |         47 |          0 |          7 |         54 |
| src/components/Form                                                                                                        |          2 |        140 |          3 |         13 |        156 |
| src/components/Heading                                                                                                     |          3 |        176 |          1 |         31 |        208 |
| src/components/IconButton                                                                                                  |          2 |         99 |          0 |         12 |        111 |
| src/components/Input                                                                                                       |          2 |         94 |          0 |         10 |        104 |
| src/components/Label                                                                                                       |          3 |        151 |          1 |         15 |        167 |
| src/components/LabelSearchInput                                                                                            |          3 |        143 |          7 |         23 |        173 |
| src/components/ListItem                                                                                                    |          2 |         36 |          0 |         10 |         46 |
| src/components/RoundButton                                                                                                 |          3 |        188 |          0 |         21 |        209 |
| src/components/Spinner                                                                                                     |          2 |         86 |          1 |         12 |         99 |
| src/components/Text                                                                                                        |          3 |         74 |          0 |         12 |         86 |
| src/components/TextArea                                                                                                    |          2 |        118 |          0 |         12 |        130 |
| src/components/TextButton                                                                                                  |          2 |        104 |          0 |         14 |        118 |
| src/components/Toast                                                                                                       |          1 |         44 |          0 |          4 |         48 |
| src/components/UserSelector                                                                                                |          2 |        206 |         11 |         27 |        244 |
| src/generated                                                                                                              |          1 |        510 |         22 |         77 |        609 |
| src/graphql                                                                                                                |          2 |         17 |          0 |          2 |         19 |
| src/graphql/fragments                                                                                                      |          1 |          4 |          0 |          1 |          5 |
| src/graphql/query                                                                                                          |          1 |         13 |          0 |          1 |         14 |
| src/hooks                                                                                                                  |          2 |         49 |          2 |         16 |         67 |
| src/layouts                                                                                                                |         25 |      2,051 |        554 |        168 |      2,773 |
| src/layouts/Modal                                                                                                          |          2 |         79 |          1 |         10 |         90 |
| src/layouts/PageHeader                                                                                                     |          2 |         53 |          1 |         11 |         65 |
| src/layouts/SideNav                                                                                                        |          2 |        133 |          0 |         10 |        143 |
| src/layouts/TaskBar                                                                                                        |          5 |        593 |         14 |         43 |        650 |
| src/layouts/TaskBar/SprintSelector                                                                                         |          2 |        106 |          2 |         10 |        118 |
| src/layouts/TaskBar/TextLabel                                                                                              |          1 |         13 |          0 |          4 |         17 |
| src/layouts/TaskBoard                                                                                                      |         10 |        932 |        513 |         75 |      1,520 |
| src/layouts/TaskBoard/TaskBoard                                                                                            |          3 |        328 |        130 |         23 |        481 |
| src/layouts/TaskBoard/TaskBoardContainer                                                                                   |          2 |         41 |          0 |          7 |         48 |
| src/layouts/TaskBoard/TaskBoardList                                                                                        |          2 |        353 |        383 |         25 |        761 |
| src/layouts/TaskBoard/TaskCard                                                                                             |          3 |        210 |          0 |         20 |        230 |
| src/layouts/TopNav                                                                                                         |          4 |        261 |         25 |         19 |        305 |
| src/layouts/TopNav/ProjectListDropdown                                                                                     |          2 |        118 |         22 |         10 |        150 |
| src/pages                                                                                                                  |         25 |      1,559 |         63 |        135 |      1,757 |
| src/pages/Dashboard                                                                                                        |         11 |        649 |         44 |         64 |        757 |
| src/pages/Dashboard/ActivityStream                                                                                         |          2 |        141 |         16 |         12 |        169 |
| src/pages/Dashboard/Charts                                                                                                 |          4 |        130 |          0 |         15 |        145 |
| src/pages/Dashboard/MyTasks                                                                                                |          2 |        142 |          3 |         17 |        162 |
| src/pages/Dashboard/ReportCard                                                                                             |          1 |         83 |         20 |          8 |        111 |
| src/pages/Dashboard/ReportHero                                                                                             |          1 |         65 |          1 |          5 |         71 |
| src/pages/MyProfile                                                                                                        |          4 |        146 |          3 |         19 |        168 |
| src/pages/MyProfile/Forms                                                                                                  |          2 |         93 |          3 |          9 |        105 |
| src/pages/ProjectSetting                                                                                                   |          4 |        246 |          0 |         25 |        271 |
| src/pages/ProjectSetting/AccessPermission                                                                                  |          1 |        146 |          0 |         12 |        158 |
| src/pages/ProjectSetting/BasicDetail                                                                                       |          2 |         83 |          0 |         10 |         93 |
| src/pages/Register                                                                                                         |          1 |          1 |          0 |          1 |          2 |
| src/pages/Sprint                                                                                                           |          5 |        517 |         16 |         26 |        559 |
| src/pages/Sprint/Accordion                                                                                                 |          4 |        482 |          9 |         21 |        512 |
| src/styles                                                                                                                 |          1 |         64 |          0 |          3 |         67 |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                   | language         | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/.eslintrc.js                                                            | JavaScript       |         55 |          0 |          1 |         56 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/.prettierrc                                                             | JSON             |          4 |          0 |          1 |          5 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/.storybook/main.js                                                      | JavaScript       |         32 |          0 |          3 |         35 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/.storybook/preview-head.html                                            | HTML             |          1 |          0 |          1 |          2 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/.storybook/preview.js                                                   | JavaScript       |         24 |          0 |          3 |         27 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/README.md                                                               | Markdown         |         40 |          0 |         20 |         60 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/codegen.yml                                                             | YAML             |          9 |          0 |          1 |         10 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/package-lock.json                                                       | JSON             |     27,217 |          0 |          1 |     27,218 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/package.json                                                            | JSON             |        102 |          0 |          1 |        103 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/public/index.html                                                       | HTML             |         15 |          0 |          3 |         18 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/public/manifest.json                                                    | JSON             |         25 |          0 |          1 |         26 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/scripts/pre-commit.sh                                                   | Shell Script     |          4 |          1 |          3 |          8 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/scripts/pre-push.sh                                                     | Shell Script     |          8 |          1 |          3 |         12 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/scripts/prepare-commit-msg.sh                                           | Shell Script     |         17 |          1 |          6 |         24 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/App.tsx                                                             | TypeScript React |         16 |          4 |          3 |         23 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Avatar/avatar.stories.tsx                                | TypeScript React |         39 |          0 |          7 |         46 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Avatar/index.tsx                                         | TypeScript React |         23 |          0 |          5 |         28 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/AvatarGroup/avatarGroup.stories.tsx                      | TypeScript React |         44 |          0 |          5 |         49 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/AvatarGroup/index.tsx                                    | TypeScript React |         31 |          0 |          5 |         36 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Button/button.stories.tsx                                | TypeScript React |         35 |          0 |          6 |         41 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Button/button.styled.tsx                                 | TypeScript React |          1 |          0 |          1 |          2 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Button/index.tsx                                         | TypeScript React |         43 |          1 |          7 |         51 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Calendar/calendar.stories.tsx                            | TypeScript React |         15 |          8 |          5 |         28 |
| /Users/paulkim/Desktop/cs_projects/Retrievo_client/src/components/Calendar/calendar.styled.tsx                             | TypeScript React |         56 |          0 |         13 |         69 |
